NOTES,item_id,name,descr,price_cents,size_score,art_score,link,image_name,last_checked,brand,claimant_id,claim_state,display
,3,Klein Bottle,A Klein Bottle has no purpose but it IS a topological paradox. Mathematically it has no volume and has only one side.,7300,0.9,9.6,https://www.kleinbottle.com/,klein_bottle.png,5/12/2025,ACME Klein Bottle,"""""",UNCLAIMED,TRUE
,53,Nonstick Flat Griddle,"If we have made you breakfast before, then you know we use our crepe pan liberally. Flat griddles like this are our kitchen secret weapons!",5596,1.1,-8.1,https://www.williams-sonoma.com/products/all-clad-ns-plus-square-griddle/,allclad_square_griddle.png,5/12/2025,All-Clad,"""""",UNCLAIMED,TRUE
,40,Underglaze Watercolor Set,"This one is a little selfish.. But for me (Mitzi) an underglaze watercolor set would dramatically increase the variety in ceramics designs I can do. Imagine the watercoloring I like to do.. but on a plate! My order of preference is set 108, 111, 110 and 109.",4517,-6.5,-3.2,https://www.dickblick.com/products/amaco-lead-free-semi-moist-underglaze-sets/,underglaze_watercolors_108.png,5/12/2025,Amaco,"""""",UNCLAIMED,TRUE
,13,Flax Linen Sheet Set,These are beautiful sheets for a full bed in one of Mitzi's favorite colors - pistachio.,31500,8.6,1.2,https://bedthreads.com/products/pistachio-100-french-flax-linen-sheet-set?refSrc=6896909385813&nosto=productpage-nosto-1&variant=40511347523669,flax_linen_sheet_set.png,5/12/2025,Bedthreads,"""""",UNCLAIMED,TRUE
,30,Smokeless Incense,"The smell of our newly wed home will be one of Hinoki, Cedarwood and Frankincense.",4000,-9.2,-5.5,https://bodha.com/shop/ground-ritual-incense,incense.png,5/12/2025,Bodha,"""""",UNCLAIMED,TRUE
,10,Colorful Chopping Block,"This chopping block will be a happy replacement to our wooden one. Pretty to look at, with a helpful sturdy handle - It will be a great addition to our quick weeknight meals and our big family dinners! ",9500,2.8,6.8,https://comingsoonnewyork.com/products/chopping-block?variant=39927307993190,multicolor_chopping_block.png,5/12/2025,Coming Soon x Fredricks and Mae,"""""",UNCLAIMED,TRUE
,16,Aero Mirror Flatware,"This 20-piece flatware set is a perfect mix of functional and funky. Something about these pieces makes them more than just forks, spoons and knives - somehow! ",28995,-4.1,-2.2,https://www.crateandbarrel.com/aero-mirror-20-piece-flatware-set/s548574,aero_flatware_set.png,5/12/2025,Crate&Barrel,"""""",UNCLAIMED,TRUE
,2,Cricut Explore 4,"A Cricut lets you precisely cut vinyl, cardstock, etc to create custom stickers, stencils and fabric designs. There might be cheaper version on other sites!",24900,1.78,-8.9,https://cricut.com/en-us/cutting-machines/cricut-explore/cricut-explore-4/cricut-explore-4/2011070.html,cricut_explore.png,5/12/2025,Cricut,"""""",UNCLAIMED,TRUE
,4,Air Fryer,"I've always wanted an air fryer for cooking and stuff. We are leaning towards the 2.6-Qt size because of size limitations. If you are an air fryer expert, feel free to go off script (as long as you still mark as registered for this item!)",8995,3.4,-6.7,https://www.williams-sonoma.com/products/cuisinart-basket-air-fryer-2/,airfryer.png,5/12/2025,Cuisinart,"""""",UNCLAIMED,TRUE
,25,Lemon Tilt Duvet Set,"Literally going to faaaall asleep under this duvet set, because it's giving us vertigo. This is so incredibly in tune with our aesthetic, I'm fainting. Call a doctor!",32400,7.5,3.1,https://www.dusendusen.com/products/lemon-tilt-duvet-setLemon Tilt Duvet Set,dusen_duvet_lemon_tilt.png,5/12/2025,Dusen Dusen,"""""",UNCLAIMED,TRUE
,14,Two Striped Bathrobes,Two cute and plush matching bathrobes. Design choices like these are good for the brain :) - we both would wear a M!,27600,6.3,3.5,https://www.dusendusen.com/products/ronnie-stripe-bathrobe,ronnie_stripe_bathrobe.png,5/12/2025,Dusen Dusen,"""""",UNCLAIMED,TRUE
,26,Salt and Pepper Grinders,"If you follow this design aesthetic, you probably see ads for this set everywhere. The little faces make these guys all the better. It's good to fill your home with little guys, we think.",9800,-2.1,4.9,https://www.dusendusen.com/products/everybody-salt-pepper-grinders,salt_pepper_grinders.png,5/12/2025,Dusen Dusen,"""""",UNCLAIMED,TRUE
,23,Oloha Wireless Lamp Bowl,"Is it a bowl? Is it a table lamp? Is it a wall lamp? Well, it IS medium size and in sage. This is a weird cool lamp thing, that looks like it has been duped and resold at major outlets, but Fatboy seems to be the originator of this truly original product.",8400,4.1,4.1,https://shop.fatboyusa.com/collections/hanging-lamps/products/oloha-medium-lamp-bowl?variant=43800262705395,oloha_wireless_lamp.png,5/12/2025,Fatboy,"""""",UNCLAIMED,TRUE
,22,Beanbag Chair,Beanbag chairs are the height of modular living. Want a chair in this room? Easy. Want a big pillow in that room? Even easier. We can't wait to have this big orange beauty in our space.,24900,6.9,0.3,https://shop.fatboyusa.com/collections/bean-bag-chairs/products/original?variant=43653993791731,orange_beanbag.png,5/12/2025,Fatboy,"""""",UNCLAIMED,TRUE
